#t lex rand randsort randsortdesc randw randwnoh 
9838 712635800.294 685683102.441 724993508.879 649797709.892 699552738.077 712960789.275
9839 712673672.152 685716814.975 725031251.177 649830667.493 699586886.991 712999913.53
9840 712711544.011 685750527.51 725068993.476 649863625.095 699621035.905 713039037.785
9841 712749415.869 685784240.044 725106735.775 649896582.696 699655184.819 713078162.039
9842 712787287.728 685817952.578 725144478.074 649929540.297 699689333.732 713117286.294
9843 712825159.586 685851665.112 725182220.372 649962497.899 699723482.646 713156410.549
9844 712863031.445 685885377.646 725219962.671 649995455.5 699757631.56 713195534.803
9845 712900903.303 685919090.18 725257704.97 650028413.101 699791780.474 713234659.058
9846 712938775.162 685952802.714 725295447.269 650061370.703 699825929.388 713273783.313
9847 712976647.02 685986515.249 725333189.567 650094328.304 699860078.302 713312907.567
9848 713014518.879 686020227.783 725370931.866 650127285.905 699894227.215 713352031.822
9849 713052390.737 686053940.317 725408674.165 650160243.507 699928376.129 713391156.076
9850 713090262.596 686087652.851 725446416.464 650193201.108 699962525.043 713430280.331
9851 713128134.454 686121365.385 725484158.762 650226158.709 699996673.957 713469404.586
9852 713166006.313 686155077.919 725521901.061 650259116.311 700030822.871 713508528.84
9853 713203878.171 686188790.454 725559643.36 650292073.912 700064971.785 713547653.095
9854 713241750.03 686222502.988 725597385.659 650325031.513 700099120.699 713586777.35
9855 713279621.888 686256215.522 725635127.957 650357989.115 700133269.612 713625901.604
9856 713317493.747 686289928.056 725672870.256 650390946.716 700167418.526 713665025.859
9857 713355365.605 686323640.59 725710612.555 650423904.318 700201567.44 713704150.114
9858 713393237.464 686357353.124 725748354.854 650456861.919 700235716.354 713743274.368
9859 713431109.322 686391065.658 725786097.152 650489819.52 700269865.268 713782398.623
9860 713468981.181 686424778.193 725823839.451 650522777.122 700304014.182 713821522.877
9861 713506853.039 686458490.727 725861581.75 650555734.723 700338163.095 713860647.132
9862 713544724.898 686492203.261 725899324.049 650588692.324 700372312.009 713899771.387
9863 713582596.756 686525915.795 725937066.347 650621649.926 700406460.923 713938895.641
9864 713620468.615 686559628.329 725974808.646 650654607.527 700440609.837 713978019.896
9865 713658340.473 686593340.863 726012550.945 650687565.128 700474758.751 714017144.151
9866 713696212.332 686627053.398 726050293.244 650720522.73 700508907.665 714056268.405
9867 713734084.19 686660765.932 726088035.542 650753480.331 700543056.579 714095392.66
9868 713771956.049 686694478.466 726125777.841 650786437.932 700577205.492 714134516.915
9869 713809827.907 686728191.0 726163520.14 650819395.534 700611354.406 714173641.169
9870 713847699.765 686761903.534 726201262.439 650852353.135 700645503.32 714212765.424
9871 713885571.624 686795616.068 726239004.737 650885310.736 700679652.234 714251889.678
9872 713923443.482 686829328.602 726276747.036 650918268.338 700713801.148 714291013.933
9873 713961315.341 686863041.137 726314489.335 650951225.939 700747950.062 714330138.188
9874 713999187.199 686896753.671 726352231.634 650984183.541 700782098.975 714369262.442
9875 714037059.058 686930466.205 726389973.932 651017141.142 700816247.889 714408386.697
9876 714074930.916 686964178.739 726427716.231 651050098.743 700850396.803 714447510.952
9877 714112802.775 686997891.273 726465458.53 651083056.345 700884545.717 714486635.206
9878 714150674.633 687031603.807 726503200.829 651116013.946 700918694.631 714525759.461
9879 714188546.492 687065316.342 726540943.127 651148971.547 700952843.545 714564883.716
9880 714226418.35 687099028.876 726578685.426 651181929.149 700986992.458 714604007.97
9881 714264290.209 687132741.41 726616427.725 651214886.75 701021141.372 714643132.225
9882 714302162.067 687166453.944 726654170.024 651247844.351 701055290.286 714682256.479
9883 714340033.926 687200166.478 726691912.322 651280801.953 701089439.2 714721380.734
9884 714377905.784 687233879.012 726729654.621 651313759.554 701123588.114 714760504.989
9885 714415777.643 687267591.546 726767396.92 651346717.155 701157737.028 714799629.243
9886 714453649.501 687301304.081 726805139.219 651379674.757 701191885.942 714838753.498
9887 714491521.36 687335016.615 726842881.517 651412632.358 701226034.855 714877877.753
9888 714529393.218 687368729.149 726880623.816 651445589.959 701260183.769 714917002.007
9889 714567265.077 687402441.683 726918366.115 651478547.561 701294332.683 714956126.262
9890 714605136.935 687436154.217 726956108.414 651511505.162 701328481.597 714995250.517
9891 714643008.794 687469866.751 726993850.712 651544462.764 701362630.511 715034374.771
9892 714680880.652 687503579.286 727031593.011 651577420.365 701396779.425 715073499.026
9893 714718752.511 687537291.82 727069335.31 651610377.966 701430928.338 715112623.28
9894 714756624.369 687571004.354 727107077.609 651643335.568 701465077.252 715151747.535
9895 714794496.228 687604716.888 727144819.907 651676293.169 701499226.166 715190871.79
9896 714832368.086 687638429.422 727182562.206 651709250.77 701533375.08 715229996.044
9897 714870239.945 687672141.956 727220304.505 651742208.372 701567523.994 715269120.299
9898 714908111.803 687705854.49 727258046.804 651775165.973 701601672.908 715308244.554
9899 714945983.662 687739567.025 727295789.102 651808123.574 701635821.822 715347368.808
9900 714983855.52 687773279.559 727333531.401 651841081.176 701669970.735 715386493.063
9901 715021727.379 687806992.093 727371273.7 651874038.777 701704119.649 715425617.318
9902 715059599.237 687840704.627 727409015.999 651906996.378 701738268.563 715464741.572
9903 715097471.096 687874417.161 727446758.297 651939953.98 701772417.477 715503865.827
9904 715135342.954 687908129.695 727484500.596 651972911.581 701806566.391 715542990.081
9905 715173214.813 687941842.23 727522242.895 652005869.182 701840715.305 715582114.336
9906 715211086.671 687975554.764 727559985.194 652038826.784 701874864.218 715621238.591
9907 715248958.53 688009267.298 727597727.492 652071784.385 701909013.132 715660362.845
9908 715286830.388 688042979.832 727635469.791 652104741.987 701943162.046 715699487.1
9909 715324702.247 688076692.366 727673212.09 652137699.588 701977310.96 715738611.355
9910 715362574.105 688110404.9 727710954.389 652170657.189 702011459.874 715777735.609
9911 715400445.964 688144117.434 727748696.687 652203614.791 702045608.788 715816859.864
