#t lex rand randsort randsortdesc randw randwnoh 
32034 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914945623.75
32035 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914990174.43
32036 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915034725.1
32037 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915079275.78
32038 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915123826.46
32039 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915168377.14
32040 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915212927.82
32041 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915257478.49
32042 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915302029.17
32043 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915346579.85
32044 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915391130.53
32045 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915435681.21
32046 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915480231.88
32047 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915524782.56
32048 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915569333.24
32049 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915613883.92
32050 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915658434.6
32051 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915702985.27
32052 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915747535.95
32053 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915792086.63
32054 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915836637.31
32055 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915881187.99
32056 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915925738.66
32057 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1915970289.34
32058 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916014840.02
32059 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916059390.7
32060 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916103941.38
32061 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916148492.05
32062 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916193042.73
32063 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916237593.41
32064 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916282144.09
32065 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916326694.77
32066 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916371245.44
32067 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916415796.12
32068 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916460346.8
32069 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916504897.48
32070 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916549448.16
32071 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916593998.83
32072 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916638549.51
32073 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916683100.19
32074 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916727650.87
32075 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916772201.55
32076 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916816752.23
32077 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916861302.9
32078 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916905853.58
32079 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916950404.26
32080 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1916994954.94
32081 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917039505.62
32082 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917084056.29
32083 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917128606.97
32084 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917173157.65
32085 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917217708.33
32086 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917262259.01
32087 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917306809.68
32088 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917351360.36
32089 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917395911.04
32090 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917440461.72
32091 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917485012.4
32092 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917529563.07
32093 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917574113.75
32094 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917618664.43
32095 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917663215.11
32096 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917707765.79
32097 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917752316.46
32098 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917796867.14
32099 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917841417.82
32100 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917885968.5
32101 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917930519.18
32102 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1917975069.85
32103 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918019620.53
32104 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918064171.21
32105 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918108721.89
32106 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918153272.57
32107 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918197823.24
32108 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918242373.92
32109 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918286924.6
32110 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918331475.28
32111 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918376025.96
32112 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918420576.63
32113 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918465127.31
32114 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918509677.99
32115 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918554228.67
32116 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918598779.35
32117 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918643330.02
32118 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918687880.7
32119 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918732431.38
32120 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918776982.06
32121 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918821532.74
32122 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918866083.41
32123 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918910634.09
32124 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918955184.77
32125 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1918999735.45
32126 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919044286.13
32127 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919088836.8
32128 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919133387.48
32129 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919177938.16
32130 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919222488.84
32131 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919267039.52
32132 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919311590.19
32133 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919356140.87
32134 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919400691.55
32135 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919445242.23
32136 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919489792.91
32137 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919534343.58
32138 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919578894.26
32139 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919623444.94
32140 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919667995.62
32141 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919712546.3
32142 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919757096.97
32143 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919801647.65
32144 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919846198.33
32145 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919890749.01
32146 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919935299.69
32147 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1919979850.36
32148 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920024401.04
32149 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920068951.72
32150 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920113502.4
32151 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920158053.08
32152 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920202603.75
32153 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920247154.43
32154 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920291705.11
32155 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920336255.79
32156 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920380806.47
32157 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920425357.14
32158 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920469907.82
32159 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920514458.5
32160 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920559009.18
32161 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920603559.86
32162 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920648110.53
32163 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920692661.21
32164 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920737211.89
32165 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920781762.57
32166 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920826313.25
32167 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920870863.92
