Instance,MD5,Sparrow+CP3,CCAnr,Doug Hains,MIPSat,BalancedZ,SparrowToRiss (not competing),dk-SAT11,march_br,gluebit_clasp,clasp_vflip,GlucoRed,Solver43a,Solver43b,forl,strangenight,relback (not competing),gluH,ZENN,MIPSat (not competing),MIPSat (not competing),SAT4J,CSHCcombCS,gNovelty+GCa,gNovelty+GCwa,Riss3g (not competing),satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,sattime2013,minipure,glucose,glueminisat,Riss3g (not competing),sattimeRelbackSeq (not competing),sattimeClasp,sattimeRelbackShr (not competing),RSeq (not competing)
toughsat_factoring_inf.cnf,5503cee318a00e66dec5520be83bc536,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
toughsat_factoring_155s.cnf,32b4c3c2aba66691c0dc23964cdc1ba8,5000.0,5000.0,11.8752,4078.61,5000.0,297.404,2035.26,338.318,33.8059,39.656,54.1748,805.61,784.515,549.019,340.022,1051.17,195.468,188.633,1097.14,1347.45,545.504,669.124,5000.0,5000.0,145.198,118.694,362.619,312.561,311.883,279.334,291.364,5000.0,222.604,41.9846,19.577,1060.48,3557.49,2533.11,171.946,2865.31
toughsat_factoring_148s.cnf,dc5271205bd368e274f0decd155e683b,5000.0,5000.0,91.5551,3979.31,5000.0,265.919,1591.4,80.7867,36.1675,214.157,122.657,185.991,133.634,53.2989,39.349,8.00278,16.1905,212.118,1278.35,1077.59,210.454,461.814,5000.0,5000.0,28.9786,66.8578,15.5386,20.3559,20.3059,90.3543,69.0845,5000.0,29.8275,16.3935,19.831,46.9359,2508.05,2700.83,64.2002,2509.27
toughsat_factoring_895s.cnf,b2028131a89950dc9fe9928b873a1507,5000.0,5000.0,81.3306,4528.95,5000.0,465.257,1749.82,578.774,398.623,27.6948,4466.64,658.985,1412.32,29.5225,21.4817,19.896,3312.37,256.875,1182.06,3270.67,2404.16,1583.96,5000.0,5000.0,2008.32,914.881,104.447,460.672,455.898,425.137,807.116,5000.0,800.638,266.955,1068.11,4608.45,2519.51,2520.88,5000.0,2579.5
toughsat_factoring_1238s.cnf,436b183373ca7a49023bf095b563e9b4,5000.0,5000.0,1071.62,3956.81,5000.0,496.311,3125.33,35.0567,447.901,317.196,1383.99,105.117,234.512,233.849,12.0882,481.984,615.807,92.4509,1030.98,1242.9,161.043,520.252,5000.0,5000.0,161.625,523.719,42.6245,751.676,746.89,69.3235,240.932,5000.0,185.379,578.803,7.39487,12.8181,2989.36,2799.16,564.716,2532.7
LABS_n064_goal005.cnf,07316ba906a5b562064fd56cb92dde75,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2211.66,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2957.61,4275.01,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1821.29,5000.0,3477.51,5000.0,5000.0,744.254,5000.0,2565.15,703.417,3253.99,5000.0,5000.0,5000.0,5000.0,5000.0
jkkk-random-132906006632161-10-10-33-OR-sat.cnf,30a1e9249589dd63ae3a8ae03212749f,5000.0,5000.0,2095.38,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3342.5,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3116.0,5000.0,5000.0,5000.0,5000.0,2385.31,1709.17,5000.0,5000.0,5000.0,3570.02,5000.0,5000.0,2043.48,1153.34,5000.0,442.242,5000.0,5000.0,5000.0,5000.0
rbsat-v760c43649gyes4.cnf,b11db9969a1dd3e5093b78c3e4d42d0c,6.99794,15.6376,4734.13,0.535917,11.6142,4.15737,5000.0,5000.0,484.888,12.7591,3433.51,2611.07,2555.38,4053.38,42.0496,5000.0,5000.0,3474.34,9.00863,8.95764,5000.0,449.728,31.3872,17.5133,5000.0,3429.56,5000.0,3533.26,3547.45,5000.0,89.4734,0.474926,5000.0,5000.0,5000.0,5000.0,0.18697,0.184971,0.229964,0.183971
LABS_n041_goal003.cnf,ae07bf28d99a96bdbf7ac34cf8e8eed4,5000.0,5000.0,143.692,5000.0,5000.0,5000.0,5000.0,5000.0,378.376,5000.0,5000.0,2654.49,469.978,3757.44,5000.0,5000.0,921.175,575.62,1404.61,5000.0,5000.0,4062.08,5000.0,5000.0,430.261,1681.29,5000.0,3330.46,437.517,3009.65,558.4,5000.0,4047.26,512.207,5000.0,421.603,5000.0,5000.0,5000.0,5000.0
connm-ue-csp-sat-n800-d-0.02-s1542454144.sat05-533.reshuffled-07.cnf,d59b4e28276b4b99e12e66d1c286ecef,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1873.16,1631.69,5000.0,5000.0,5000.0,5000.0,2959.14,3434.76,5000.0,5000.0,5000.0,5000.0,5000.0,3426.81,5000.0,5000.0,5000.0,687.472,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4095.66,5000.0,5000.0,60.3188,5000.0,3999.07,5000.0,5000.0
mod2-rand3bip-sat-250-3.sat05-2220.reshuffled-07.cnf,b79b003513b2a70c9b89188422a831e2,5000.0,5000.0,507.037,5000.0,5000.0,3869.91,558.366,0.017996,672.171,774.789,5000.0,2447.25,5000.0,0.010997,401.66,4782.9,875.596,1623.59,2083.92,1041.82,5000.0,864.227,5000.0,5000.0,3857.26,458.425,2770.83,3572.88,5000.0,955.737,1.44478,5000.0,974.725,5000.0,3147.23,3862.21,5000.0,3118.14,1152.94,5000.0
