Instance,MD5,SparrowToRiss,dk-SAT11,march_br,gluebit_clasp,clasp_vflip,GlucoRed,Solver43a,Solver43b,forl,strangenight,relback,gluH,ZENN,MIPSat,MIPSat,SAT4J,CSHCcombCS,gNovelty+GCa,gNovelty+GCwa,Riss3g (disqualified),satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,sattime2013,minipure,glucose,glueminisat,Riss3g,sattimeRelbackSeq,sattimeClasp,sattimeRelbackShr,RSeq (not competing)
hwb-n28-02-S818962541.sat05-492.reshuffled-07.cnf,64fc27f80f46bd97e9b696c2a1119c70,5000.0,5000.0,2444.33,2030.8,2436.68,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3807.69,3243.29,5000.0,2665.7,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2413.67,5000.0,1086.0,5000.0,5000.0,5000.0,5000.0,4407.55,5000.0,5000.0
prime2209-96.cnf,84e981de183f4d3f958452be6f23a822,511.522,5000.0,5000.0,3.50247,3.32649,1.41478,35.3536,7.07292,4.54431,2.00169,1.3168,1.44278,1.18882,987.361,986.913,35.7596,424.092,5000.0,5000.0,3.14852,1.57776,1.47178,4.80627,29.0546,8.16776,4.27435,555.527,1.49077,1.2988,1.50177,2.10468,483.61,485.47,16.1375,487.195
LABS_n053_goal004.cnf,d1accc66cec82391311906f0662c23ed,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,202.752,5000.0,5000.0,242.484,1000.04,3302.62,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2225.43,5000.0,5000.0,5000.0,5000.0,545.611,5000.0,2752.45,5000.0,5000.0,5000.0
crafted_n10_d6_c3_num11.cnf,147237ce9e8c8a019ccd715a55bb449d,5000.0,17.4883,5000.0,1609.56,5000.0,917.825,1097.31,1091.66,457.099,1512.1,2610.21,1687.3,5000.0,5000.0,2653.09,5000.0,5000.0,5000.0,5000.0,947.389,5000.0,2434.48,635.789,1271.04,2394.74,5000.0,5000.0,5000.0,1445.62,417.968,650.079,5000.0,5000.0,3196.82,5000.0
prime2209-85.cnf,dbdee5c99db4f2efc8ca0699b8398464,495.627,5000.0,5000.0,2.72558,2.76658,1.23881,26.472,5.96409,4.02839,1.70974,1.13283,1.2828,1.04884,986.564,986.51,35.0277,420.545,5000.0,5000.0,2.82557,1.37479,1.17982,4.26135,22.1976,6.93394,2.55661,467.542,1.34479,1.14682,1.23881,1.70374,424.461,425.598,14.0399,422.451
crafted_n10_d6_c4_num19.cnf,1cd139147486db5fd2b8684b12118fe6,5000.0,39.521,5000.0,2682.04,5000.0,760.342,3414.24,3441.46,493.716,1503.29,3632.83,4323.09,5000.0,5000.0,2387.22,5000.0,5000.0,5000.0,5000.0,1038.41,5000.0,4203.97,4929.22,5000.0,1117.79,5000.0,5000.0,5000.0,2115.23,1082.58,1301.62,3578.67,5000.0,3582.54,3602.61
LABS_n066_goal005.cnf,cf4d60f607a3f4c69bab5a03e1d9ea10,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,875.602,5000.0,5000.0,5000.0,390.649,5000.0,4418.84,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
crafted_n12_d6_c3_num19.cnf,ea68126ceb3cb19e33339f793ea4c8f2,5000.0,24.9852,5000.0,3874.3,5000.0,1744.64,5000.0,3284.82,2573.5,2982.1,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1879.62,5000.0,5000.0,5000.0,5000.0,1269.04,5000.0,5000.0,5000.0,3942.95,1965.13,3777.73,5000.0,5000.0,5000.0,5000.0
LABS_n070_goal001.cnf,c008dbf5d3fa9228e68dd0f66f1290bc,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3248.53,5000.0,3503.2,3548.15,3543.72,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4076.58,3680.93,4961.92,4512.53,4632.33,5000.0,5000.0,5000.0,3887.02,3927.44,3433.28,4124.28,5000.0,5000.0,5000.0,5000.0
crafted_n12_d6_c3_num30.cnf,5d6923b6edb488b2b93955ee3267b2fb,5000.0,30.4094,5000.0,3883.02,5000.0,1613.83,4521.9,5000.0,456.486,2207.23,3150.27,4704.23,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,951.229,5000.0,3970.44,5000.0,5000.0,615.882,1796.58,5000.0,5000.0,3529.59,1407.95,1389.77,5000.0,5000.0,5000.0,5000.0
sgen1-unsat-97-100.cnf,5f0ec9f87ae77ca0eb8468a4ddde217c,5000.0,3122.39,2782.63,1094.6,1299.63,5000.0,2724.26,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2461.03,1528.17,5000.0,1082.8,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1269.14,5000.0,721.121,5000.0,5000.0,5000.0,5000.0,3495.71,5000.0,5000.0
crafted_n10_d6_c4_num15.cnf,a3410a93be93397c187ea760f19b1dfe,5000.0,32.782,5000.0,2998.31,5000.0,1299.38,2499.3,2516.16,640.386,1566.79,2057.24,4124.27,5000.0,5000.0,2534.34,5000.0,5000.0,5000.0,5000.0,1084.56,5000.0,3478.46,4616.13,2498.21,518.785,5000.0,5000.0,5000.0,2897.52,1486.13,1202.77,2098.8,5000.0,2106.16,2051.36
LABS_n072_goal001.cnf,ab4c4106fd3241bfe49afd20b837f68b,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4674.34,5000.0,5000.0,4777.28,4852.84,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4758.14,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4630.68,5000.0,4766.45,5000.0,5000.0,5000.0,5000.0,5000.0
phnf-size10-exclusive-all.used-as.sat04-986.sat05-4198.reshuffled-07.cnf,73bcef7c584867538ae0bed90374a7ab,5000.0,5000.0,5000.0,5000.0,5000.0,2064.62,5000.0,5000.0,5000.0,3284.34,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
prime2209-84.cnf,b6cd121b7b446ba5c20477110defc052,496.237,5000.0,5000.0,2.50162,2.75558,1.24381,26.9519,5.84011,3.99639,1.85072,1.13083,1.2988,1.02784,986.413,986.488,37.7363,420.568,5000.0,5000.0,2.75258,1.36479,1.27081,4.12237,19.0861,6.94194,2.47762,464.894,1.3318,1.11983,1.22881,1.69574,402.481,400.84,12.6261,400.442
crafted_n11_d6_c3_num24.cnf,3e2b2248ec53381c911d174f508b14fb,5000.0,19.525,5000.0,2081.36,5000.0,720.309,3276.62,3029.28,605.237,5000.0,2008.6,4572.94,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,594.84,5000.0,4290.75,590.364,1877.92,764.904,5000.0,5000.0,5000.0,2268.42,554.619,762.219,4520.7,5000.0,2788.9,4490.08
