Instance,MD5,Doug Hains (disqualified),MIPSat,MIPSat,glue_bit,gluebit_lgl,GlucoRed,Nigma,Nigma-NoPB,Solver43a,Solver43b,forl,strangenight,relback,gluH,ZENN,SAT4J,CSHCapplLG,CSHCapplLC,Riss3g,satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,minipure,glucose,glueminisat,Riss3g,sattimeRelbackShr,RSeq
aes_64_1_keyfind_1.cnf,9e18e0ee8a56ea2c59fe8e682ff6c747,5000.0,298.841,2214.05,5000.0,47.7677,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1034.73,5000.0,5000.0,516.357,5000.0,20.5459,1443.19,1853.27,2413.37,5000.0,3942.55,3904.31,5000.0,1339.79,449.864,5000.0,2204.27,5000.0,5000.0,5000.0
md5_48_1.cnf,21923a69386e0f7043d9b5a4a577566f,453.966,126.27,66.9498,37.7853,422.436,2086.75,913.592,103.139,43.2464,453.329,100.201,40.0439,1166.04,1884.45,173.407,674.828,496.051,164.014,48.2357,57.0543,768.012,386.278,1772.84,58.2961,177.653,633.714,3778.77,544.421,626.396,5000.0,1472.68
md5_47_4.cnf,b0a37265834986ac9165bda379d279fd,42.0836,28.6326,132.596,258.126,172.952,467.603,953.788,198.841,1204.96,355.245,91.897,41.9666,2218.76,407.117,19.407,329.391,273.771,105.381,358.126,102.564,1001.46,1453.14,3204.09,66.1159,89.2954,53.5369,163.605,82.3705,2613.33,4811.65,2033.0
md5_48_3.cnf,62c39589a569c5d989e4ecd1f5fe22d9,488.108,293.608,76.0964,114.288,1839.89,3037.52,343.73,2947.3,188.504,464.525,47.6058,109.215,160.138,1240.6,474.827,343.044,407.994,566.953,903.914,34.8517,272.682,5000.0,2014.67,132.578,35.2576,68.5286,1442.58,72.571,4219.42,4154.81,1241.89
gss-19-s100.cnf,46cd058b197d2996741a12b8a3597974,1037.93,1054.89,180.707,166.938,749.498,3066.74,488.792,505.769,766.351,973.699,929.4,300.183,783.072,862.545,915.438,5000.0,165.88,129.302,514.073,701.928,108.945,630.713,631.146,632.772,626.609,464.444,52.595,748.579,714.834,1104.76,818.34
gss-20-s100.cnf,a794a6d5c5cef207b230b9c11bc6a020,1196.88,3459.7,6.44302,302.83,72.092,5000.0,20.0829,2903.51,686.776,2334.09,5000.0,1568.62,1448.7,1155.99,720.487,5000.0,198.676,3959.05,1668.19,1550.1,2705.52,477.788,495.157,3638.09,383.233,2002.34,2187.25,3537.02,1035.73,5000.0,5000.0
zfcp-2.8-u2-nh.cnf,c4aa2ddc60eee766fbdf95a32eed5b43,80.6137,627.981,5000.0,41.9636,78.0431,82.4545,2842.95,252.696,45.1571,43.4604,264.596,463.954,49.5605,55.2226,80.5918,199.661,5000.0,5000.0,160.955,79.221,82.2485,582.592,5000.0,220.329,202.009,91.2301,56.6994,85.433,92.9219,49.4365,48.4436
aes_16_10_keyfind_3.cnf,ba60e69f0d85355346c606d520be3dc1,5000.0,3943.55,1657.73,578.046,183.61,1119.25,98.654,521.777,499.064,226.768,5000.0,442.93,139.215,308.991,601.151,360.942,690.806,883.88,120.897,5000.0,115.776,228.392,227.017,5000.0,2206.26,5000.0,262.389,948.905,259.629,2563.43,1002.58
rpoc_xits_15_SAT.cnf,6e2420fee2f0f163ee34f3173d985c73,606.444,6.78497,2.11768,3.47647,28.7466,1.56176,5.07323,1.26481,2.03769,4.05138,1.74573,1.89871,1.3168,3.89641,0.997848,12.951,76.9193,76.0324,3.33849,1.20282,2.08768,3.79842,2.82557,1.72474,1.49677,3.10353,1.40179,1.12683,3.86341,7.11292,601.383
pb_200_03_lb_03.cnf,475cc42914651b711314ff274f5d63a6,89.7204,55.5686,132.67,18.4892,382.717,77.6692,45.2941,32.4001,9.75952,13.024,139.55,5000.0,129.249,163.35,376.588,8.98263,108.875,540.996,61.5026,123.811,82.7334,5.36019,5.96609,102.522,56.2614,5000.0,154.12,86.0729,21.2798,82.1275,617.637
pb_300_05_lb_16.cnf,475625d216c3bd15c9dfed8c8d44e317,2202.67,2810.83,5000.0,5000.0,513.481,4251.15,5000.0,2970.94,1472.94,2126.48,3906.43,5000.0,549.996,2992.6,1339.91,3404.83,3003.65,2976.34,4058.16,340.444,5000.0,1403.04,1434.84,2597.55,496.777,5000.0,465.088,931.004,624.411,5000.0,2767.49
pb_400_02_lb_15.cnf,16e4f7136121630fb776cbad00a74e51,328.079,1854.32,813.457,250.131,69.2895,170.121,221.292,88.0056,137.826,103.958,130.763,380.865,160.043,80.4788,257.157,1043.84,400.52,947.983,195.911,32.3071,115.661,311.535,307.805,439.429,339.267,5000.0,318.105,375.455,258.689,1265.22,1013.04
pb_400_09_lb_05.cnf,4b770873df270f9d20490c58122226d0,51.8591,268.92,282.799,67.4637,162.89,214.916,56.0035,44.8612,53.4999,56.7904,82.9424,141.24,83.2613,46.6779,60.1679,175.921,200.269,689.137,78.3151,35.6186,74.1887,72.63,74.0507,177.336,173.964,5000.0,31.0113,294.573,64.1063,442.123,691.749
pb_400_10_lb_00.cnf,cc324f46eb87d3a6482cadc1d26183fb,17.3144,39.685,48.4786,32.576,58.892,65.824,11.5572,12.5401,49.6804,41.4607,30.5184,130.06,78.4501,57.1643,41.1487,58.898,132.218,579.683,50.2144,33.5329,26.6459,24.1883,24.1023,74.0127,34.3058,5000.0,18.5582,163.121,12.898,405.987,679.813
pb_400_05_lb_00.cnf,c1e89fb94c1afe7b33b43e37af6b9e31,379.997,2567.82,3233.11,73.7428,3326.42,1104.98,1481.67,254.624,701.293,171.688,604.291,3446.51,241.51,1481.75,1419.62,1473.84,3057.92,3036.84,212.946,241.505,1028.74,3253.41,3171.96,2643.75,728.114,5000.0,1840.01,2008.87,1347.69,522.977,2532.25
pb_300_06_lb_02.cnf,9d52258b5c10ed06ac66c1ccb4c7a5e4,517.52,5000.0,307.838,1116.04,1142.17,2020.23,854.848,475.628,3182.24,1032.43,958.436,1403.76,235.507,2022.77,642.341,5000.0,1101.2,1097.24,1882.16,196.63,1073.78,548.865,560.861,661.526,1339.65,338.211,1754.33,5000.0,1005.99,5000.0,5000.0
pb_300_09_lb_07.cnf,52a78e418a19fbd6f46241f73bb870e6,89.3214,266.108,593.638,49.8124,87.4597,9.90349,55.2856,151.5,16.2655,107.082,16.4685,70.6063,77.4472,48.3137,54.5397,292.437,173.153,544.652,17.7643,163.338,156.256,43.8573,43.7274,75.9615,70.7692,5000.0,83.8882,174.196,151.511,414.307,633.152
pb_300_01_lb_00.cnf,4395bc8659ae2ba3fbdcbc3a4f388d83,47.8437,34.8797,107.59,5.95309,38.9731,15.2227,10.5264,21.8237,32.3161,18.0233,43.7154,42.2126,5.80712,48.9386,37.3513,41.6567,73.7448,483.913,6.27704,3.19251,5.22421,7.69283,7.56385,17.7233,217.424,117.183,18.2822,57.1293,38.9791,222.005,602.718
pb_300_05_lb_17.cnf,49f12d7efb4207ce4464addb0e3409a1,937.753,1784.98,408.779,492.44,210.083,1325.63,670.072,1265.36,304.785,807.881,4041.2,3115.68,1457.13,234.27,180.029,3074.24,444.762,2904.47,101.912,80.3158,996.021,799.496,795.125,2544.61,819.694,5000.0,799.476,1886.52,1176.88,1935.6,1038.39
pb_300_02_lb_06.cnf,33679b142e18e85d688317cc7402fb96,37.8352,296.829,1657.16,5000.0,110.216,313.896,86.1699,10.5894,31.2532,132.955,379.1,263.668,34.2438,279.285,118.576,87.4717,83.5623,892.74,1162.15,18.3352,63.7943,45.906,47.0049,439.496,88.3966,5000.0,237.033,703.582,858.455,347.89,721.11
pb_300_10_lb_13.cnf,d2cb7ce0d027175186cf9247c2a37e45,87.3777,722.777,1387.01,121.677,91.823,2671.47,636.483,161.373,190.229,542.228,623.979,1117.18,251.449,335.177,162.586,5000.0,189.767,1616.27,775.261,398.679,33.6509,833.851,825.559,1196.45,792.79,5000.0,1261.62,803.364,1424.0,2063.22,1456.41
pb_300_02_lb_07.cnf,933c596aa26c3387c621743e7ff88e29,10.1645,14.5118,276.789,7.09092,63.0414,90.9072,71.6321,17.1724,16.4685,11.0283,77.3752,22.9835,6.03608,11.2073,2.46163,14.5208,108.211,503.062,20.5829,36.0135,13.267,10.3814,10.0545,30.7563,25.2182,528.167,27.1669,132.7,49.5425,524.301,633.177
pb_300_03_lb_13.cnf,fc36a581f2c1d3af77ac393fc232f821,14.9897,189.565,89.5704,18.5452,67.3328,25.7751,75.7025,16.7934,13.22,50.1084,50.9832,196.592,38.2092,15.9316,45.5831,45.0002,139.532,556.389,70.1183,60.8767,51.8861,35.1417,35.4436,83.7683,53.3379,5000.0,18.5802,97.3172,6.46702,192.452,631.434
md5_47_3.cnf,3bb585fcdaeb772457dbcffd3371aab9,83.6033,21.9537,358.307,37.7763,353.732,1126.51,1678.39,407.384,951.1,671.325,127.68,298.038,2044.61,813.421,38.0222,953.844,179.347,77.2223,893.718,501.67,846.357,358.007,317.362,42.8375,191.179,567.134,168.577,39.8399,764.819,5000.0,5000.0
md5_48_5.cnf,8ab50418497c0326ed1ff5d73a4e24a3,69.0525,245.112,21.7527,153.594,1975.5,384.752,32.3251,3786.37,230.49,189.358,38.0942,195.079,2099.02,1575.88,22.8405,2665.9,571.309,124.628,54.2647,165.134,1447.31,276.878,126.119,135.456,128.229,159.273,453.757,445.423,1986.09,2231.04,1850.99
md5_48_4.cnf,d228b2e129f0cbe265f4cdbbbf6f09c8,66.5759,238.958,832.649,227.358,5000.0,997.259,2128.72,5000.0,694.495,4939.07,159.754,95.9534,5000.0,344.053,63.1144,2624.46,618.836,188.684,1429.22,335.568,625.762,87.5757,1883.83,186.141,384.873,1067.36,542.916,55.5156,3895.34,5000.0,5000.0
md5_48_2.cnf,a420102680cef46239a1a26d099d3bb5,97.0392,287.334,346.272,107.335,416.777,2342.29,1208.8,3445.75,587.251,1074.9,208.881,31.2243,1006.22,996.167,159.948,369.212,578.757,93.8207,1403.38,198.296,244.912,25.986,701.579,144.506,132.59,3066.18,961.959,131.154,2852.88,5000.0,5000.0
md5_47_1.cnf,53153ffcc5020cda6102938ac64005fe,52.9449,75.7395,114.996,140.605,299.976,5000.0,100.124,92.212,200.199,76.9903,58.4601,39.0651,172.035,321.706,130.158,959.874,541.086,104.616,91.2301,51.5492,846.147,368.396,700.939,105.744,58.877,95.4825,1995.71,16.4395,1028.32,3033.29,622.87
001.cnf,a414f1a17b595e4412e35274a41f44b9,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1608.26,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
