Instance,MD5,Nigma-DRUP,Nigma-NoPB-DRUP,minisat_bit_u,forl,SAT4J Certified,forl,Lingeling,glucose,glueminisat-cert-unsat,Riss3g,minisat DRUP
hitag2-10-60-0-0xe14721bd199894a-99.cnf,b0660b63322faca9d4f15768c053f4ce,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
pb_200_03_lb_02.cnf,fe46231aeb971484e4629968e592cd86,1784.57,1295.02,3335.02,340.644,5000.0,323.14,5000.0,132.794,455.996,185.826,1010.89
hitag2-10-60-0-0xb7b72dfef34c17b-39.cnf,6a2df4cc1449e232eed53898f4b1d68d,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
pb_400_09_lb_04.cnf,1ccd376320f6c4099276cb6eeeb1ab16,606.329,402.233,5000.0,520.596,5000.0,567.362,1269.18,247.846,1391.06,5000.0,5000.0
hitag2-10-60-0-0xbc15b17d0353413-10.cnf,cc8cb7d7dcc7a7a4b700f51963a9f808,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4823.75,5000.0,5000.0,5000.0
hitag2-10-60-0-0xa360966c6eb75c4-62.cnf,9dcd6a61aea4a8e717254ffb85647144,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
pb_400_09_lb_03.cnf,4fb52fca19ef884a8b6969232f9f8b97,164.966,184.034,4837.16,338.219,5000.0,329.676,328.389,94.8786,387.191,166.974,641.103
countbitssrl032.cnf,5bb6e70c95bda454f634cd586084908b,988.605,820.54,636.137,429.436,5000.0,267.065,510.207,435.647,251.301,551.189,1411.86
bivium-39-200-0s0-0x28df9231b320bd56dfb68bfc7c3f0ca20dbae6b0eba535ad91-98.cnf,eb8b99f8e2cdbee66eaf4ea8419e75f5,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30.cnf,d86dacf24a85f1fb713a14e29fdd2ad3,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
