#t lex rand randsort randsortdesc randw randwnoh 
12868 635214348.372 661638317.818 843080373.325 552380434.428 572158343.826 458459556.181
12869 635221882.422 661670703.915 843125498.487 552387968.477 572190669.311 458467090.23
12870 635229416.471 661703090.012 843170623.649 552395502.527 572222994.796 458474624.28
12871 635236950.521 661735476.109 843215748.812 552403036.576 572255320.281 458482158.329
12872 635244484.57 661767862.206 843260873.974 552410570.626 572287645.765 458489692.379
12873 635252018.62 661800248.303 843305999.136 552418104.675 572319971.25 458497226.428
12874 635259552.669 661832634.4 843351124.298 552425638.725 572352296.735 458504760.478
12875 635267086.719 661865020.497 843396249.461 552433172.774 572384622.22 458512294.527
12876 635274620.768 661897406.595 843441374.623 552440706.823 572416947.705 458519828.577
12877 635282154.818 661929792.692 843486499.785 552448240.873 572449273.19 458527362.626
12878 635289688.867 661962178.789 843531624.948 552455774.922 572481598.675 458534896.676
12879 635297222.917 661994564.886 843576750.11 552463308.972 572513924.16 458542430.725
12880 635304756.966 662026950.983 843621875.272 552470843.021 572546249.644 458549964.774
12881 635312291.016 662059337.08 843667000.435 552478377.071 572578575.129 458557498.824
12882 635319825.065 662091723.177 843712125.597 552485911.12 572610900.614 458565032.873
12883 635327359.114 662124109.274 843757250.759 552493445.17 572643226.099 458572566.923
12884 635334893.164 662156495.371 843802375.922 552500979.219 572675551.584 458580100.972
12885 635342427.213 662188881.468 843847501.084 552508513.269 572707877.069 458587635.022
12886 635349961.263 662221267.566 843892626.246 552516047.318 572740202.554 458595169.071
12887 635357495.312 662253653.663 843937751.408 552523581.368 572772528.039 458602703.121
12888 635365029.362 662286039.76 843982876.571 552531115.417 572804853.523 458610237.17
12889 635372563.411 662318425.857 844028001.733 552538649.467 572837179.008 458617771.22
12890 635380097.461 662350811.954 844073126.895 552546183.516 572869504.493 458625305.269
12891 635387631.51 662383198.051 844118252.058 552553717.566 572901829.978 458632839.319
12892 635395165.56 662415584.148 844163377.22 552561251.615 572934155.463 458640373.368
12893 635402699.609 662447970.245 844208502.382 552568785.665 572966480.948 458647907.418
12894 635410233.659 662480356.342 844253627.545 552576319.714 572998806.433 458655441.467
12895 635417767.708 662512742.439 844298752.707 552583853.764 573031131.918 458662975.517
12896 635425301.758 662545128.537 844343877.869 552591387.813 573063457.402 458670509.566
12897 635432835.807 662577514.634 844389003.032 552598921.863 573095782.887 458678043.616
12898 635440369.857 662609900.731 844434128.194 552606455.912 573128108.372 458685577.665
12899 635447903.906 662642286.828 844479253.356 552613989.962 573160433.857 458693111.715
12900 635455437.956 662674672.925 844524378.518 552621524.011 573192759.342 458700645.764
12901 635462972.005 662707059.022 844569503.681 552629058.06 573225084.827 458708179.814
12902 635470506.055 662739445.119 844614628.843 552636592.11 573257410.312 458715713.863
12903 635478040.104 662771831.216 844659754.005 552644126.159 573289735.797 458723247.913
